741,309,100183,0.00,588.00,172,240,99,19.14,-25576,-25576,-25576,-25576
1425,309,100177,0.50,597.00,172,240,99,19.14,-25576,-25576,-25576,-25576
1981,309,100174,0.76,589.00,172,240,99,19.14,-25576,-25576,-25576,-25576
2156,309,100174,0.76,561.00,172,240,99,19.14,-25576,-25576,-25576,-25576
2210,309,100183,0.00,588.00,172,240,99,19.14,-25576,-25576,-25576,-25576
2266,309,100183,0.00,592.00,172,240,99,19.14,-25576,-25576,-25576,-25576
2321,309,100189,0.00,590.00,172,240,99,19.14,-25576,-25576,-25576,-25576
2380,309,100183,0.50,594.00,172,240,99,19.14,-25576,-25576,-25576,-25576
2527,309,100171,1.51,595.00,172,240,99,19.14,-25576,-25576,-25576,-25576
2655,309,100183,0.50,590.00,172,240,99,19.14,-25576,-25576,-25576,-25576
2710,309,100183,0.50,597.00,172,240,99,19.14,-25576,-25576,-25576,-25576
2765,309,100177,1.01,597.00,172,240,99,19.14,-25576,-25576,-25576,-25576
2822,309,100174,1.26,582.00,172,240,99,19.14,-25576,-25576,-25576,-25576
2877,309,100192,0.00,597.00,172,240,99,19.14,-25576,-25576,-25576,-25576
2937,309,100180,1.01,591.00,172,240,99,19.14,-25576,-25576,-25576,-25576
2993,309,100183,0.76,597.00,172,240,99,19.14,-25576,-25576,-25576,-25576
3048,309,100177,1.26,594.00,172,240,99,19.14,-25576,-25576,-25576,-25576
3194,309,100177,1.26,578.00,172,240,99,19.14,-25576,-25576,-25576,-25576
3367,309,100180,1.01,590.00,172,240,99,19.14,-25576,-25576,-25576,-25576
3490,309,100189,0.25,596.00,172,240,99,19.14,-25576,-25576,-25576,-25576
3570,309,100183,0.76,595.00,172,240,99,19.14,-25576,-25576,-25576,-25576
3636,309,100183,0.76,598.00,172,240,99,19.14,-25576,-25576,-25576,-25576
3696,309,100183,0.76,586.00,172,240,99,19.14,-25576,-25576,-25576,-25576
3785,309,100177,1.26,599.00,172,240,99,19.14,-25576,-25576,-25576,-25576
4020,309,100189,0.25,590.00,172,240,99,19.14,-25576,-25576,-25576,-25576
4600,309,100177,1.26,582.00,172,240,99,19.14,-25576,-25576,-25576,-25576
5156,309,100186,0.50,592.00,172,240,99,19.14,-25576,-25576,-25576,-25576
5330,309,100180,1.01,592.00,172,240,99,19.14,-25576,-25576,-25576,-25576
5391,309,100177,1.26,595.00,172,240,99,19.14,-25576,-25576,-25576,-25576
5446,309,100180,1.01,581.00,172,240,99,19.14,-25576,-25576,-25576,-25576
5501,309,100183,0.76,588.00,172,240,99,19.14,-25576,-25576,-25576,-25576
5557,309,100183,0.76,582.00,172,240,99,19.14,-25576,-25576,-25576,-25576
5613,309,100183,0.76,592.00,172,240,99,19.14,-25576,-25576,-25576,-25576
5668,309,100177,1.26,589.00,172,240,99,19.14,-25576,-25576,-25576,-25576
5724,309,100177,1.26,591.00,172,240,99,19.14,-25576,-25576,-25576,-25576
5784,309,100183,0.76,579.00,172,240,99,19.14,-25576,-25576,-25576,-25576
5931,309,100183,0.76,590.00,172,240,99,19.14,-25576,-25576,-25576,-25576
6076,309,100189,0.25,579.00,172,240,99,19.14,-25576,-25576,-25576,-25576
6204,309,100189,0.25,592.00,172,240,99,19.14,-25576,-25576,-25576,-25576
6259,309,100183,0.76,598.00,172,240,99,19.14,-25576,-25576,-25576,-25576
6315,309,100171,1.76,587.00,172,240,99,19.14,-25576,-25576,-25576,-25576
6895,309,100171,1.76,588.00,172,240,99,19.14,-25576,-25576,-25576,-25576
6956,309,100186,0.50,587.00,172,240,99,19.14,-25576,-25576,-25576,-25576
7023,309,100171,1.76,582.00,172,240,99,19.14,-25576,-25576,-25576,-25576
7079,309,100183,0.76,598.00,172,240,99,19.14,-25576,-25576,-25576,-25576
7160,309,100186,0.50,584.00,172,240,99,19.14,-25576,-25576,-25576,-25576
7345,309,100180,1.01,583.00,172,240,99,19.14,-25576,-25576,-25576,-25576
7491,309,100189,0.25,594.00,172,240,99,19.14,-25576,-25576,-25576,-25576
8046,309,100174,1.51,583.00,172,240,99,19.14,-25576,-25576,-25576,-25576
8659,309,100177,1.26,579.00,172,240,99,19.14,-25576,-25576,-25576,-25576
9338,309,100195,0.00,595.00,172,240,99,19.14,-25576,-25576,-25576,-25576
